,Avg temp,,,,,10-yr MA,,,,,,,,,,,,,,,,
year,Shanghai,Amsterdam,New_York,San_Jose,global,Shanghai,Amsterdam,New_York,San_Jose,global,,,,,,,,,,,,
2004,17.24,10.27,10.39,15.37,9.32,16.86,10.17,10.541,15.148,9.343,,,,,,,,,,,,
2005,16.75,10.48,10.68,15.17,9.7,16.899,10.193,10.585,15.134,9.378,,,,,,,,,,,,
2006,17.41,10.97,11.52,15.02,9.53,17.019,10.458,10.756,15.08,9.427,,,,,,,,,,,,
2007,17.63,11.04,10.63,14.94,9.73,17.106,10.559,10.819,14.999,9.48,,,,,,,,,,,,
2008,16.72,10.42,10.64,15.05,9.43,17.022,10.583,10.701,15.066,9.471,,,,,,,,,,,,
2009,17.01,10.33,10.14,15.02,9.51,17.055,10.542,10.599,15.127,9.493,,,,,,,,,,,,
2010,16.75,8.84,11.36,14.67,9.7,17.04,10.351,10.738,15.092,9.543,,,,,,,,,,,,
2011,16.52,10.73,11.27,14.5,9.52,16.999,10.4,10.772,15.017,9.554,,,,,,,,,,,,
2012,16.47,10.08,11.97,15.05,9.51,16.924,10.344,10.844,15.022,9.548,,,,,,,,,,,,
2013,17.86,9.54,12.16,16.23,9.61,17.036,10.27,11.076,15.102,9.556,,,,,,,,,,,,
